,quarter,clnt_id
0,2005-01-01,205
3,2005-04-01,222
6,2005-07-01,39515
10,2005-10-01,45101
14,2006-01-01,44917
18,2006-04-01,45463
22,2006-07-01,48806
26,2006-10-01,51721
30,2007-01-01,51439
34,2007-04-01,51588
38,2007-07-01,50834
42,2007-10-01,47957
46,2008-01-01,45100
50,2008-04-01,44146
54,2008-07-01,43693
58,2008-10-01,42304
62,2009-01-01,42859
66,2009-04-01,42501
70,2009-07-01,42869
74,2009-10-01,41122
78,2010-01-01,40028
82,2010-04-01,39682
86,2010-07-01,39386
90,2010-10-01,38433
94,2011-01-01,37072
98,2011-04-01,35773
102,2011-07-01,35111
106,2011-10-01,33997
110,2012-01-01,30846
114,2012-04-01,28552
118,2012-07-01,27970
122,2012-10-01,26223
126,2013-01-01,24685
130,2013-04-01,23198
134,2013-07-01,22821
138,2013-10-01,20563
142,2014-01-01,20352
146,2014-04-01,19622
150,2014-07-01,19404
154,2014-10-01,18955
158,2015-01-01,18191
162,2015-04-01,17540
166,2015-07-01,18772
170,2015-10-01,17080
174,2016-01-01,16526
178,2016-04-01,15815
182,2016-07-01,15832
186,2016-10-01,15150
190,2017-01-01,14500
194,2017-04-01,13730
198,2017-07-01,13421
202,2017-10-01,13027
206,2018-01-01,12562
210,2018-04-01,12142
214,2018-07-01,11996
218,2018-10-01,11716
222,2019-01-01,11278
226,2019-04-01,10966
230,2019-07-01,11041
234,2019-10-01,11092
238,2020-01-01,10916
242,2020-04-01,10679
246,2020-07-01,10527
250,2020-10-01,10699
254,2021-01-01,10584
258,2021-04-01,10392
262,2021-07-01,10405
266,2021-10-01,10507
270,2022-01-01,7292
