,quarter,clnt_id
2,2005-01-01,43029
5,2005-04-01,43421
8,2005-07-01,45144
12,2005-10-01,47077
16,2006-01-01,49357
20,2006-04-01,50716
24,2006-07-01,53555
28,2006-10-01,55692
32,2007-01-01,56672
36,2007-04-01,58944
40,2007-07-01,70772
44,2007-10-01,83822
48,2008-01-01,80155
52,2008-04-01,76654
56,2008-07-01,78000
60,2008-10-01,76563
64,2009-01-01,74838
68,2009-04-01,72678
72,2009-07-01,76419
76,2009-10-01,76204
80,2010-01-01,75109
84,2010-04-01,73593
88,2010-07-01,83042
92,2010-10-01,85866
96,2011-01-01,82523
100,2011-04-01,81005
104,2011-07-01,87974
108,2011-10-01,85250
112,2012-01-01,80859
116,2012-04-01,81944
120,2012-07-01,90103
124,2012-10-01,95445
128,2013-01-01,93077
132,2013-04-01,95037
136,2013-07-01,97713
140,2013-10-01,97051
144,2014-01-01,94634
148,2014-04-01,92846
152,2014-07-01,93315
156,2014-10-01,94375
160,2015-01-01,97671
164,2015-04-01,99211
168,2015-07-01,105066
172,2015-10-01,102843
176,2016-01-01,111187
180,2016-04-01,111549
184,2016-07-01,118616
188,2016-10-01,125305
192,2017-01-01,126956
196,2017-04-01,126247
200,2017-07-01,122197
204,2017-10-01,122406
208,2018-01-01,137842
212,2018-04-01,127153
216,2018-07-01,118518
220,2018-10-01,119063
224,2019-01-01,133699
228,2019-04-01,123231
232,2019-07-01,114413
236,2019-10-01,113991
240,2020-01-01,126778
244,2020-04-01,114291
248,2020-07-01,107429
252,2020-10-01,107381
256,2021-01-01,116546
260,2021-04-01,114568
264,2021-07-01,105824
268,2021-10-01,107696
272,2022-01-01,33704
