,value
2022-04-01,3481.532857651321
2022-07-01,3506.742743352325
2022-10-01,3442.253240737864
2023-01-01,3460.504897081388
2023-04-01,3407.377020260054
2023-07-01,3410.7018745150176
2023-10-01,3375.0614873183713
2024-01-01,3359.44453534602
2024-04-01,3343.059393524277
2024-07-01,3308.9827390458017
2024-10-01,3309.2463637622473
2025-01-01,3261.200002068257
2025-04-01,3272.0763848797246
2025-07-01,3217.2316005182242
2025-10-01,3230.8715951886716
2026-01-01,3177.2793584226774
2026-04-01,3185.8969408131734
2026-07-01,3140.6469749752546
2026-10-01,3138.221668057763
2027-01-01,3105.969336526141
2027-04-01,3089.4162090189366
2027-07-01,3071.568974244538
2027-10-01,3041.1649824550873
2028-01-01,3035.850639304509
