,value
2022-01-01,4344.9903927939895
2022-04-01,4367.685171656455
2022-07-01,4389.425837578136
2022-10-01,4409.236017167506
2023-01-01,4427.239573763059
2023-04-01,4443.55339857232
2023-07-01,4458.331361864686
2023-10-01,4471.715551053882
2024-01-01,4483.837064506815
2024-04-01,4494.814886876259
2024-07-01,4504.756903918421
2024-10-01,4513.760840617891
2025-01-01,4521.915208128471
2025-04-01,4529.300167361476
2025-07-01,4535.988316014997
2025-10-01,4542.045401884552
2026-01-01,4547.530969130742
2026-04-01,4552.498943607426
2026-07-01,4556.99816297551
2026-10-01,4561.072856800267
2027-01-01,4564.763081349704
2027-04-01,4568.105113367548
2027-07-01,4571.131806691668
2027-10-01,4573.872915223652
