,value
2022-04-01,3618.418507655706
2022-07-01,3537.988883369235
2022-10-01,3447.4307143582396
2023-01-01,3561.4904009853526
2023-04-01,3447.8982399298484
2023-07-01,3592.2769197382277
2023-10-01,3496.6813054273152
2024-01-01,3614.2186513555152
2024-04-01,3549.9835509985624
2024-07-01,3629.0404308130146
2024-10-01,3593.078930503535
2025-01-01,3639.128278600385
2025-04-01,3622.53335859077
2025-07-01,3645.2141245855255
2025-10-01,3639.1748989080174
2026-01-01,3647.0945059114947
2026-04-01,3645.141271452535
2026-07-01,3644.436557816348
2026-10-01,3642.683874753716
2027-01-01,3637.1827741903544
2027-04-01,3633.7699143916498
2027-07-01,3625.64766566067
2027-10-01,3620.030192701402
2028-01-01,3610.463713223573
